mirror,date,source,source_type,credits,relationship
deutsch,2023-11-01,Telegram: RuAS_Org,telegram,22,credited-by-mirror
deutsch,2023-11-01,Telegram: craZybear2022,telegram,28,credited-by-mirror
deutsch,2023-11-01,Telegram: satellit_de,telegram,34,credited-by-mirror
deutsch,2023-11-01,ria.ru,domain,26,credited-by-mirror
deutsch,2023-11-01,tass.ru,domain,45,credited-by-mirror
deutsch,2023-11-02,Telegram: RuAS_Org,telegram,22,credited-by-mirror
deutsch,2023-11-02,Telegram: craZybear2022,telegram,24,credited-by-mirror
deutsch,2023-11-02,Telegram: satellit_de,telegram,29,credited-by-mirror
deutsch,2023-11-02,ria.ru,domain,35,credited-by-mirror
deutsch,2023-11-02,tass.ru,domain,50,credited-by-mirror
deutsch,2023-11-03,Telegram: RuAS_Org,telegram,17,credited-by-mirror
deutsch,2023-11-03,Telegram: craZybear2022,telegram,23,credited-by-mirror
deutsch,2023-11-03,Telegram: satellit_de,telegram,24,credited-by-mirror
deutsch,2023-11-03,ria.ru,domain,20,credited-by-mirror
deutsch,2023-11-03,tass.ru,domain,38,credited-by-mirror
deutsch,2023-11-04,Telegram: RuAS_Org,telegram,17,credited-by-mirror
deutsch,2023-11-04,Telegram: craZybear2022,telegram,20,credited-by-mirror
deutsch,2023-11-04,Telegram: satellit_de,telegram,28,credited-by-mirror
deutsch,2023-11-04,ria.ru,domain,32,credited-by-mirror
deutsch,2023-11-04,tass.ru,domain,29,credited-by-mirror
deutsch,2023-11-05,Telegram: RuAS_Org,telegram,16,credited-by-mirror
deutsch,2023-11-05,Telegram: craZybear2022,telegram,23,credited-by-mirror
deutsch,2023-11-05,Telegram: satellit_de,telegram,26,credited-by-mirror
deutsch,2023-11-05,ria.ru,domain,24,credited-by-mirror
deutsch,2023-11-05,tass.ru,domain,26,credited-by-mirror
deutsch,2023-11-06,Telegram: RuAS_Org,telegram,18,credited-by-mirror
deutsch,2023-11-06,Telegram: craZybear2022,telegram,25,credited-by-mirror
deutsch,2023-11-06,Telegram: satellit_de,telegram,29,credited-by-mirror
deutsch,2023-11-06,ria.ru,domain,17,credited-by-mirror
deutsch,2023-11-06,tass.ru,domain,32,credited-by-mirror
deutsch,2023-11-07,Telegram: RuAS_Org,telegram,13,credited-by-mirror
deutsch,2023-11-07,Telegram: craZybear2022,telegram,21,credited-by-mirror
deutsch,2023-11-07,Telegram: satellit_de,telegram,28,credited-by-mirror
deutsch,2023-11-07,ria.ru,domain,23,credited-by-mirror
deutsch,2023-11-07,tass.ru,domain,28,credited-by-mirror
deutsch,2023-11-08,Telegram: RuAS_Org,telegram,13,credited-by-mirror
deutsch,2023-11-08,Telegram: craZybear2022,telegram,27,credited-by-mirror
deutsch,2023-11-08,Telegram: satellit_de,telegram,25,credited-by-mirror
deutsch,2023-11-08,ria.ru,domain,34,credited-by-mirror
deutsch,2023-11-08,tass.ru,domain,35,credited-by-mirror
deutsch,2023-11-09,Telegram: RuAS_Org,telegram,12,credited-by-mirror
