mirror,date,source,source_type,credits,relationship
czechia,2024-10-01,Telegram: InfodefenseCZE,telegram,30,credited-by-mirror
czechia,2024-10-01,Telegram: Libertas_info_cz,telegram,94,credited-by-mirror
czechia,2024-10-01,Telegram: MGzpravy,telegram,137,credited-by-mirror
czechia,2024-10-01,Telegram: neCT24,telegram,52,credited-by-mirror
czechia,2024-10-01,Telegram: to_je_nas_svet,telegram,28,credited-by-mirror
czechia,2024-10-01,Telegram: uk100a,telegram,72,credited-by-mirror
czechia,2024-10-02,Telegram: InfodefenseCZE,telegram,15,credited-by-mirror
czechia,2024-10-02,Telegram: Libertas_info_cz,telegram,73,credited-by-mirror
czechia,2024-10-02,Telegram: MGzpravy,telegram,87,credited-by-mirror
czechia,2024-10-02,Telegram: neCT24,telegram,36,credited-by-mirror
czechia,2024-10-02,Telegram: selskyrozum,telegram,1,credited-by-mirror
czechia,2024-10-02,Telegram: to_je_nas_svet,telegram,22,credited-by-mirror
czechia,2024-10-02,Telegram: uk100a,telegram,57,credited-by-mirror
czechia,2024-10-03,Telegram: InfodefenseCZE,telegram,25,credited-by-mirror
czechia,2024-10-03,Telegram: Libertas_info_cz,telegram,49,credited-by-mirror
czechia,2024-10-03,Telegram: MGzpravy,telegram,63,credited-by-mirror
czechia,2024-10-03,Telegram: jarek53,telegram,1,credited-by-mirror
czechia,2024-10-03,Telegram: neCT24,telegram,37,credited-by-mirror
czechia,2024-10-03,Telegram: to_je_nas_svet,telegram,21,credited-by-mirror
czechia,2024-10-03,Telegram: uk100a,telegram,37,credited-by-mirror
czechia,2024-10-04,Telegram: InfodefenseCZE,telegram,9,credited-by-mirror
czechia,2024-10-04,Telegram: Libertas_info_cz,telegram,31,credited-by-mirror
czechia,2024-10-04,Telegram: MGzpravy,telegram,137,credited-by-mirror
czechia,2024-10-04,Telegram: jarek53,telegram,1,credited-by-mirror
czechia,2024-10-04,Telegram: neCT24,telegram,32,credited-by-mirror
czechia,2024-10-04,Telegram: to_je_nas_svet,telegram,19,credited-by-mirror
czechia,2024-10-04,Telegram: uk100a,telegram,53,credited-by-mirror
czechia,2024-10-05,Telegram: InfodefenseCZE,telegram,28,credited-by-mirror
czechia,2024-10-05,Telegram: Libertas_info_cz,telegram,90,credited-by-mirror
czechia,2024-10-05,Telegram: MGzpravy,telegram,103,credited-by-mirror
czechia,2024-10-05,Telegram: neCT24,telegram,32,credited-by-mirror
czechia,2024-10-05,Telegram: to_je_nas_svet,telegram,20,credited-by-mirror
czechia,2024-10-05,Telegram: uk100a,telegram,27,credited-by-mirror
czechia,2024-10-06,Telegram: InfodefenseCZE,telegram,13,credited-by-mirror
czechia,2024-10-06,Telegram: Libertas_info_cz,telegram,80,credited-by-mirror
