mirror,date,source,source_type,credits,relationship
a,2026-09-01,Telegram: leblorikzov,telegram,33,credited-by-mirror
a,2026-09-01,Telegram: llordofwar,telegram,61,credited-by-mirror
a,2026-09-01,Telegram: lomovkaa,telegram,14,credited-by-mirror
a,2026-09-01,Telegram: oroszokazigazsagoldalan,telegram,133,credited-by-mirror
a,2026-09-01,Telegram: ostashkonews,telegram,15,credited-by-mirror
a,2026-09-01,Telegram: rusputnikmd,telegram,52,credited-by-mirror
a,2026-09-02,Telegram: leblorikzov,telegram,34,credited-by-mirror
a,2026-09-02,Telegram: llordofwar,telegram,60,credited-by-mirror
a,2026-09-02,Telegram: lomovkaa,telegram,16,credited-by-mirror
a,2026-09-02,Telegram: oroszokazigazsagoldalan,telegram,135,credited-by-mirror
a,2026-09-02,Telegram: ostashkonews,telegram,16,credited-by-mirror
a,2026-09-02,Telegram: rusputnikmd,telegram,48,credited-by-mirror
a,2026-09-03,Telegram: leblorikzov,telegram,46,credited-by-mirror
a,2026-09-03,Telegram: llordofwar,telegram,70,credited-by-mirror
a,2026-09-03,Telegram: lomovkaa,telegram,22,credited-by-mirror
a,2026-09-03,Telegram: oroszokazigazsagoldalan,telegram,113,credited-by-mirror
a,2026-09-03,Telegram: ostashkonews,telegram,14,credited-by-mirror
a,2026-09-03,Telegram: rusputnikmd,telegram,62,credited-by-mirror
a,2026-09-04,Telegram: leblorikzov,telegram,43,credited-by-mirror
a,2026-09-04,Telegram: llordofwar,telegram,94,credited-by-mirror
a,2026-09-04,Telegram: lomovkaa,telegram,13,credited-by-mirror
a,2026-09-04,Telegram: oroszokazigazsagoldalan,telegram,104,credited-by-mirror
a,2026-09-04,Telegram: ostashkonews,telegram,12,credited-by-mirror
a,2026-09-04,Telegram: rusputnikmd,telegram,55,credited-by-mirror
a,2026-09-05,Telegram: leblorikzov,telegram,3,credited-by-mirror
a,2026-09-05,Telegram: llordofwar,telegram,19,credited-by-mirror
a,2026-09-05,Telegram: lomovkaa,telegram,9,credited-by-mirror
a,2026-09-05,Telegram: oroszokazigazsagoldalan,telegram,4,credited-by-mirror
a,2026-09-05,Telegram: ostashkonews,telegram,2,credited-by-mirror
a,2026-09-05,Telegram: rusputnikmd,telegram,9,credited-by-mirror
abkhazia,2026-09-01,sputnik-abkhazia.info,domain,34,credited-by-mirror
abkhazia,2026-09-02,sputnik-abkhazia.info,domain,24,credited-by-mirror
abkhazia,2026-09-03,sputnik-abkhazia.info,domain,28,credited-by-mirror
abkhazia,2026-09-04,sputnik-abkhazia.info,domain,23,credited-by-mirror
albania,2026-09-01,Telegram: balkanar,telegram,1,credited-by-mirror
albania,2026-09-01,Telegram: rusembalb,telegram,1,credited-by-mirror
albania,2026-09-02,Telegram: balkanar,telegram,1,credited-by-mirror
albania,2026-09-04,Telegram: balkanar,telegram,1,credited-by-mirror
albania,2026-09-04,Telegram: rusembalb,telegram,1,credited-by-mirror
albania,2026-09-05,Telegram: rusembalb,telegram,1,credited-by-mirror
algeria,2026-09-01,Telegram: ambrussie_algerie,telegram,1,credited-by-mirror
algeria,2026-09-01,Telegram: rtarabictelegram,telegram,1,credited-by-mirror
algeria,2026-09-01,Telegram: rustradealgeria,telegram,1,credited-by-mirror
algeria,2026-09-01,arabic.rt.com,domain,4,credited-by-mirror
algeria,2026-09-02,Telegram: Sputnik_Arabic,telegram,1,credited-by-mirror
algeria,2026-09-02,Telegram: meridienamitie,telegram,1,credited-by-mirror
algeria,2026-09-02,Telegram: rtarabictelegram,telegram,3,credited-by-mirror
algeria,2026-09-02,Telegram: rustradealgeria,telegram,2,credited-by-mirror
algeria,2026-09-02,ar.topwar.ru,domain,3,credited-by-mirror
algeria,2026-09-02,arabic.rt.com,domain,4,credited-by-mirror
algeria,2026-09-02,sarabic.ae,domain,2,credited-by-mirror
algeria,2026-09-03,Telegram: ambrussie_algerie,telegram,4,credited-by-mirror
algeria,2026-09-03,Telegram: rtarabictelegram,telegram,3,credited-by-mirror
algeria,2026-09-03,arabic.rt.com,domain,6,credited-by-mirror
algeria,2026-09-03,sarabic.ae,domain,3,credited-by-mirror
algeria,2026-09-04,Telegram: Sputnik_Arabic,telegram,1,credited-by-mirror
algeria,2026-09-04,Telegram: rustradealgeria,telegram,1,credited-by-mirror
algeria,2026-09-04,arabic.rt.com,domain,1,credited-by-mirror
algeria,2026-09-04,sarabic.ae,domain,2,credited-by-mirror
algeria,2026-09-05,arabic.rt.com,domain,1,credited-by-mirror
armenia,2026-09-01,Telegram: armeniasputnik,telegram,50,credited-by-mirror
armenia,2026-09-01,Telegram: caucasar,telegram,1,credited-by-mirror
armenia,2026-09-01,Telegram: rusembassyarm,telegram,2,credited-by-mirror
armenia,2026-09-01,Telegram: sputniklive,telegram,1,credited-by-mirror
armenia,2026-09-01,arm.sputniknews.ru,domain,28,credited-by-mirror
armenia,2026-09-02,Telegram: armeniasputnik,telegram,47,credited-by-mirror
armenia,2026-09-02,Telegram: caucasar,telegram,3,credited-by-mirror
armenia,2026-09-02,Telegram: infodefARM,telegram,3,credited-by-mirror
armenia,2026-09-02,Telegram: rusembassyarm,telegram,1,credited-by-mirror
armenia,2026-09-02,Telegram: sputniklive,telegram,2,credited-by-mirror
armenia,2026-09-02,arm.sputniknews.ru,domain,26,credited-by-mirror
armenia,2026-09-03,Telegram: armeniasputnik,telegram,59,credited-by-mirror
armenia,2026-09-03,Telegram: caucasar,telegram,3,credited-by-mirror
armenia,2026-09-03,Telegram: rusembassyarm,telegram,1,credited-by-mirror
armenia,2026-09-03,Telegram: sputniklive,telegram,9,credited-by-mirror
armenia,2026-09-03,arm.sputniknews.ru,domain,35,credited-by-mirror
armenia,2026-09-04,Telegram: armeniasputnik,telegram,40,credited-by-mirror
armenia,2026-09-04,Telegram: caucasar,telegram,2,credited-by-mirror
armenia,2026-09-04,Telegram: infodefARM,telegram,1,credited-by-mirror
armenia,2026-09-04,Telegram: rusembassyarm,telegram,1,credited-by-mirror
armenia,2026-09-04,Telegram: sputniklive,telegram,3,credited-by-mirror
armenia,2026-09-04,arm.sputniknews.ru,domain,16,credited-by-mirror
armenia,2026-09-05,Telegram: armeniasputnik,telegram,7,credited-by-mirror
armenia,2026-09-05,arm.sputniknews.ru,domain,3,credited-by-mirror
au,2026-09-01,Telegram: AussieCossack,telegram,28,credited-by-mirror
au,2026-09-01,Telegram: llordofwar,telegram,2,credited-by-mirror
au,2026-09-01,Telegram: rbc_sport,telegram,1,credited-by-mirror
au,2026-09-02,Telegram: AussieCossack,telegram,23,credited-by-mirror
au,2026-09-02,Telegram: NoticerNews,telegram,1,credited-by-mirror
au,2026-09-03,Telegram: AussieCossack,telegram,30,credited-by-mirror
au,2026-09-03,Telegram: australiafirstparty,telegram,2,credited-by-mirror
au,2026-09-03,Telegram: llordofwar,telegram,1,credited-by-mirror
au,2026-09-04,Telegram: AussieCossack,telegram,16,credited-by-mirror
au,2026-09-04,Telegram: ausvstheagenda,telegram,1,credited-by-mirror
au,2026-09-04,Telegram: llordofwar,telegram,1,credited-by-mirror
au,2026-09-04,Telegram: rbc_sport,telegram,1,credited-by-mirror
au,2026-09-05,Telegram: AussieCossack,telegram,3,credited-by-mirror
au,2026-09-05,Telegram: NoticerNews,telegram,1,credited-by-mirror
australia,2026-09-01,Telegram: AussieCossack,telegram,28,credited-by-mirror
australia,2026-09-01,Telegram: llordofwar,telegram,2,credited-by-mirror
australia,2026-09-01,Telegram: rbc_sport,telegram,1,credited-by-mirror
australia,2026-09-02,Telegram: AussieCossack,telegram,23,credited-by-mirror
australia,2026-09-02,Telegram: NoticerNews,telegram,1,credited-by-mirror
australia,2026-09-03,Telegram: AussieCossack,telegram,30,credited-by-mirror
australia,2026-09-03,Telegram: australiafirstparty,telegram,2,credited-by-mirror
australia,2026-09-03,Telegram: llordofwar,telegram,1,credited-by-mirror
australia,2026-09-04,Telegram: AussieCossack,telegram,16,credited-by-mirror
australia,2026-09-04,Telegram: ausvstheagenda,telegram,1,credited-by-mirror
australia,2026-09-04,Telegram: llordofwar,telegram,1,credited-by-mirror
australia,2026-09-04,Telegram: rbc_sport,telegram,1,credited-by-mirror
australia,2026-09-05,Telegram: AussieCossack,telegram,3,credited-by-mirror
australia,2026-09-05,Telegram: NoticerNews,telegram,1,credited-by-mirror
austria,2026-09-01,Telegram: CMS_DD,telegram,9,credited-by-mirror
austria,2026-09-01,Telegram: RussiaDailyDE,telegram,2,credited-by-mirror
austria,2026-09-01,Telegram: auf1tv,telegram,20,credited-by-mirror
austria,2026-09-01,Telegram: kanzlerdaddyDE,telegram,2,credited-by-mirror
austria,2026-09-01,Telegram: rt_de,telegram,2,credited-by-mirror
austria,2026-09-01,Telegram: satellit_de,telegram,1,credited-by-mirror
austria,2026-09-01,Telegram: topnews_at,telegram,12,credited-by-mirror
austria,2026-09-01,de.rt.com,domain,9,credited-by-mirror
austria,2026-09-01,de.topwar.ru,domain,5,credited-by-mirror
austria,2026-09-02,Telegram: CMS_DD,telegram,6,credited-by-mirror
austria,2026-09-02,Telegram: RussiaDailyDE,telegram,1,credited-by-mirror
austria,2026-09-02,Telegram: auf1tv,telegram,18,credited-by-mirror
austria,2026-09-02,Telegram: rt_de,telegram,3,credited-by-mirror
austria,2026-09-02,Telegram: satellit_de,telegram,3,credited-by-mirror
austria,2026-09-02,Telegram: topnews_at,telegram,16,credited-by-mirror
austria,2026-09-02,de.rt.com,domain,13,credited-by-mirror
austria,2026-09-02,de.topwar.ru,domain,3,credited-by-mirror
austria,2026-09-03,Telegram: CMS_DD,telegram,5,credited-by-mirror
austria,2026-09-03,Telegram: RussiaDailyDE,telegram,1,credited-by-mirror
austria,2026-09-03,Telegram: auf1tv,telegram,16,credited-by-mirror
austria,2026-09-03,Telegram: rt_de,telegram,1,credited-by-mirror
austria,2026-09-03,Telegram: topnews_at,telegram,14,credited-by-mirror
austria,2026-09-03,de.rt.com,domain,6,credited-by-mirror
austria,2026-09-03,de.topwar.ru,domain,5,credited-by-mirror
austria,2026-09-04,Telegram: CMS_DD,telegram,5,credited-by-mirror
austria,2026-09-04,Telegram: RussiaDailyDE,telegram,1,credited-by-mirror
austria,2026-09-04,Telegram: auf1tv,telegram,15,credited-by-mirror
austria,2026-09-04,Telegram: satellit_de,telegram,1,credited-by-mirror
austria,2026-09-04,Telegram: topnews_at,telegram,15,credited-by-mirror
austria,2026-09-04,de.rt.com,domain,7,credited-by-mirror
austria,2026-09-04,de.topwar.ru,domain,3,credited-by-mirror
austria,2026-09-05,Telegram: CMS_DD,telegram,2,credited-by-mirror
austria,2026-09-05,Telegram: auf1tv,telegram,5,credited-by-mirror
austria,2026-09-05,Telegram: kanzlerdaddyDE,telegram,1,credited-by-mirror
austria,2026-09-05,Telegram: satellit_de,telegram,1,credited-by-mirror
austria,2026-09-05,Telegram: topnews_at,telegram,5,credited-by-mirror
balkan,2026-09-01,Telegram: InfoDefSLO,telegram,5,credited-by-mirror
balkan,2026-09-01,lat.rt.rs,domain,79,credited-by-mirror
balkan,2026-09-01,lat.sputnikportal.rs,domain,88,credited-by-mirror
balkan,2026-09-02,Telegram: InfoDefSLO,telegram,1,credited-by-mirror
balkan,2026-09-02,lat.rt.rs,domain,79,credited-by-mirror
balkan,2026-09-02,lat.sputnikportal.rs,domain,82,credited-by-mirror
balkan,2026-09-03,Telegram: InfoDefSLO,telegram,6,credited-by-mirror
balkan,2026-09-03,lat.rt.rs,domain,85,credited-by-mirror
balkan,2026-09-03,lat.sputnikportal.rs,domain,74,credited-by-mirror
balkan,2026-09-04,Telegram: InfoDefSLO,telegram,1,credited-by-mirror
balkan,2026-09-04,lat.rt.rs,domain,73,credited-by-mirror
balkan,2026-09-04,lat.sputnikportal.rs,domain,86,credited-by-mirror
balkan,2026-09-05,lat.rt.rs,domain,9,credited-by-mirror
balkan,2026-09-05,lat.sputnikportal.rs,domain,17,credited-by-mirror
belgique,2026-09-01,Telegram: BrainlessChanelx,telegram,1,credited-by-mirror
belgique,2026-09-01,Telegram: TASS_europe,telegram,2,credited-by-mirror
belgique,2026-09-01,fr.topwar.ru,domain,2,credited-by-mirror
belgique,2026-09-01,francais.rt.com,domain,2,credited-by-mirror
belgique,2026-09-02,Telegram: BrainlessChanelx,telegram,3,credited-by-mirror
belgique,2026-09-02,Telegram: TASS_europe,telegram,2,credited-by-mirror
belgique,2026-09-02,Telegram: amrusbel,telegram,2,credited-by-mirror
belgique,2026-09-02,Telegram: ostashkonews,telegram,2,credited-by-mirror
belgique,2026-09-02,francais.rt.com,domain,1,credited-by-mirror
belgique,2026-09-03,Telegram: TASS_europe,telegram,1,credited-by-mirror
belgique,2026-09-03,Telegram: amrusbel,telegram,2,credited-by-mirror
belgique,2026-09-03,fr.topwar.ru,domain,1,credited-by-mirror
belgique,2026-09-03,francais.rt.com,domain,2,credited-by-mirror
belgique,2026-09-04,Telegram: BrainlessChanelx,telegram,1,credited-by-mirror
belgique,2026-09-04,Telegram: amrusbel,telegram,2,credited-by-mirror
belgium,2026-09-01,Telegram: Mariba2puntnul,telegram,2,credited-by-mirror
belgium,2026-09-01,Telegram: Whiplash347,telegram,2,credited-by-mirror
belgium,2026-09-01,Telegram: mwW1kRPVl3Q5ZTBh,telegram,4,credited-by-mirror
belgium,2026-09-01,Telegram: qanonbelgium,telegram,10,credited-by-mirror
belgium,2026-09-01,Telegram: truthned,telegram,1,credited-by-mirror
belgium,2026-09-02,Telegram: Mariba2puntnul,telegram,2,credited-by-mirror
belgium,2026-09-02,Telegram: mwW1kRPVl3Q5ZTBh,telegram,1,credited-by-mirror
belgium,2026-09-02,Telegram: ostashkonews,telegram,2,credited-by-mirror
belgium,2026-09-02,Telegram: qanonbelgium,telegram,12,credited-by-mirror
belgium,2026-09-02,Telegram: truthned,telegram,1,credited-by-mirror
belgium,2026-09-03,Telegram: Mariba2puntnul,telegram,1,credited-by-mirror
belgium,2026-09-03,Telegram: mwW1kRPVl3Q5ZTBh,telegram,4,credited-by-mirror
belgium,2026-09-03,Telegram: qanonbelgium,telegram,12,credited-by-mirror
belgium,2026-09-03,Telegram: truthned,telegram,1,credited-by-mirror
belgium,2026-09-04,Telegram: Mariba2puntnul,telegram,1,credited-by-mirror
belgium,2026-09-04,Telegram: Whiplash347,telegram,2,credited-by-mirror
belgium,2026-09-04,Telegram: mwW1kRPVl3Q5ZTBh,telegram,2,credited-by-mirror
belgium,2026-09-04,Telegram: qanonbelgium,telegram,12,credited-by-mirror
belgium,2026-09-04,Telegram: truthned,telegram,1,credited-by-mirror
bosnia-herzegovina,2026-09-01,Telegram: ZoranStevanovic,telegram,77,credited-by-mirror
bosnia-herzegovina,2026-09-01,Telegram: balkanar,telegram,1,credited-by-mirror
bosnia-herzegovina,2026-09-01,Telegram: panonskimornar,telegram,16,credited-by-mirror
bosnia-herzegovina,2026-09-02,Telegram: RepublikaSrpska22,telegram,1,credited-by-mirror
bosnia-herzegovina,2026-09-02,Telegram: ZoranStevanovic,telegram,116,credited-by-mirror
bosnia-herzegovina,2026-09-02,Telegram: panonskimornar,telegram,15,credited-by-mirror
bosnia-herzegovina,2026-09-02,Telegram: rusembbih,telegram,2,credited-by-mirror
bosnia-herzegovina,2026-09-03,Telegram: ZoranStevanovic,telegram,104,credited-by-mirror
